,home_team,away_team,score,kick_off_time,home_goals,away_goals,date,referee,stadium,attendance,season
190,Shelbourne,Derry City,0 - 0,17:00,,,2024-04-01,"""Eoghan O'Shea""",'Tolka Park',3932,2024
191,St Patrick's Athletic,Sligo Rovers,3 - 0,17:00,"L. Turner 10'
L. Turner 42'
M. Melia 86'",,2024-04-01,'Paul Norton','Richmond Park',3825,2024
192,Waterford,Shamrock Rovers,1 - 2,17:00,R. McCourt 64',"55' D. Burns
71' Roberto Lopes",2024-04-01,'Robert Hennessy','Waterford Regional Sports Centre',3681,2024
193,Bohemians,Waterford,0 - 1,19:45,,31' P. Amond,2024-04-05,"""Kevin O'Sullivan""",'Dalymount Park',4342,2024
194,Derry City,Dundalk,4 - 1,19:45,"A. O'Reilly 31'
W. Patching 46'
D. Mullen 58'
M. Duffy 65'",75' R. O'Kane,2024-04-05,'David Dunne','The Ryan McBride Brandywell Stadium',3060,2024
195,Drogheda United,Shelbourne,2 - 2,19:45,"O. Gallagher 21'
E. Weir 70'","45' M. Coyle
94' S. Boyd",2024-04-05,'Robert Hennessy','Weavers Park',2232,2024
196,St Patrick's Athletic,Shamrock Rovers,2 - 1,19:45,"J. Redmond 53'
A. Nolan 56'",4' D. Nugent,2024-04-05,'Damien MacGraith','Richmond Park',5015,2024
197,Sligo Rovers,Galway United,0 - 0,19:45,,,2024-04-22,"""Eoghan O'Shea""",'The Showgrounds',2627,2024
198,Drogheda United,Derry City,2 - 2,19:45,"W. Davis 3'
F. Pierrot 86'","29' M. Duffy
46' W. Patching",2024-04-12,'Damien MacGraith','Weavers Park',1763,2024
199,Dundalk,St Patrick's Athletic,0 - 0,19:45,,,2024-04-12,'Gavin Colfer','Oriel Park',2325,2024
200,Bohemians,Sligo Rovers,2 - 2,19:45,"S. Reinkort 5'
J. Clarke 94'","23' R. Hutchinson
47' F. Hartmann",2024-02-16,'Robert Harvey','Dalymount Park',4432,2024
201,Derry City,Drogheda United,2 - 1,19:45,"R. Boyce 46'
P. Hoban 63'",67' E. Weir,2024-02-16,'Damien MacGraith','The Ryan McBride Brandywell Stadium',3300,2024
202,Galway United,St Patrick's Athletic,0 - 1,19:45,,3' J. Lennon,2024-02-16,"""Eoghan O'Shea""",'Eamonn Deacy Park',4094,2024
203,Waterford,Shelbourne,1 - 1,19:45,M. Asamoah 3',78' S. Boyd,2024-02-16,"""Kevin O'Sullivan""",'Waterford Regional Sports Centre',4390,2024
204,Shamrock Rovers,Dundalk,1 - 1,19:45,A. Greene 59',33' J. Gullan,2024-02-16,'Robert Hennessy','Tallaght Stadium',7610,2024
205,Drogheda United,Waterford,1 - 4,19:45,Z. Bawa 13',"14' D. Leahy
23' N. O'Keeffe
62' D. Leahy
71' P. Amond",2024-02-23,'Paul Norton','Weavers Park',2059,2024
206,Dundalk,Galway United,0 - 2,19:45,,"10' E. McCarthy
30' A. Dervin",2024-02-23,'Gavin Colfer','Oriel Park',3122,2024
207,Shelbourne,Shamrock Rovers,2 - 1,19:45,"M. Coyle 17'
W. Jarvis 26'",49' R. Gaffney,2024-02-23,'Robert Harvey','Tolka Park',4755,2024
208,St Patrick's Athletic,Bohemians,0 - 1,19:45,,85' J. Flores,2024-02-23,'Robert Hennessy','Richmond Park',5013,2024
209,Sligo Rovers,Derry City,0 - 0,19:45,,,2024-02-24,"""Kevin O'Sullivan""",'The Showgrounds',4317,2024
210,Bohemians,Dundalk,1 - 0,19:45,J. Akintunde 80',,2024-04-15,"""Eoghan O'Shea""",'Dalymount Park',4045,2024
211,Derry City,St Patrick's Athletic,2 - 1,19:45,"P. Hoban 65'
D. Mullen 92'",47' R. Keating,2024-03-01,'Robert Harvey','The Ryan McBride Brandywell Stadium',3014,2024
212,Galway United,Waterford,2 - 1,19:45,"V. Borden 48'
D. Hurley 79'",18' P. Amond,2024-03-01,'Alan Patchell','Eamonn Deacy Park',3011,2024
213,Sligo Rovers,Shelbourne,0 - 1,19:45,,12' J. O'Sullivan,2024-03-01,'Declan Toland','The Showgrounds',3087,2024
214,Shamrock Rovers,Drogheda United,4 - 0,20:00,"J. Kenny 45'
A. Greene 47'
D. Burns 53'
J. Honohan 74'",,2024-04-29,'Robert Hennessy','Tallaght Stadium',3847,2024
215,Drogheda United,Bohemians,2 - 1,19:45,E. Weir 58',"46' D. Grant
64' J. Clarke",2024-03-04,'Gavin Colfer','Weavers Park',2047,2024
216,Dundalk,Sligo Rovers,0 - 5,19:45,,"7' E. Chapman
14' F. Hartmann
33' E. Chapman
39' M. Mata
62' M. Mata",2024-03-04,'Marc Lynch','Oriel Park',1663,2024
217,Shelbourne,Galway United,1 - 0,19:45,J. Martin 15',,2024-03-04,'Robert Hennessy','Tolka Park',3773,2024
218,Waterford,St Patrick's Athletic,3 - 1,19:45,"P. Amond 7'
P. Amond 41'
M. Asamoah 70'",34' A. Breslin,2024-03-04,"""Kevin O'Sullivan""",'Waterford Regional Sports Centre',3076,2024
219,Shamrock Rovers,Derry City,2 - 2,19:45,"D. Burns 59'
M. Poom 92'","72' P. Hoban
84' D. Mullen",2024-03-04,'Damien MacGraith','Tallaght Stadium',4883,2024
220,Bohemians,Shelbourne,0 - 2,19:45,,"80' W. Jarvis
85' G. Molloy",2024-03-08,'Paul McLaughlin','Dalymount Park',4429,2024
221,Derry City,Waterford,3 - 0,19:45,"P. Hoban 41'
P. Hoban 50'
P. Hoban 52'",,2024-03-08,'Paul Norton','The Ryan McBride Brandywell Stadium',3133,2024
222,Galway United,Drogheda United,0 - 0,19:45,,,2024-03-08,'David Dunne','Eamonn Deacy Park',3475,2024
223,St Patrick's Athletic,Dundalk,1 - 0,19:45,R. Keating 30',,2024-03-08,'Raymond Matthews','Richmond Park',4511,2024
224,Sligo Rovers,Shamrock Rovers,0 - 0,19:45,,,2024-03-09,'Robert Hennessy','The Showgrounds',3674,2024
225,Bohemians,Derry City,2 - 1,19:45,"D. Rooney 30'
J. Akintunde 77'",79' R. Boyce,2024-03-15,'Robert Hennessy','Dalymount Park',4246,2024
226,Shelbourne,Bohemians,1 - 2,19:45,W. Jarvis 63',"37' J. Flores
40' J. Flores",2024-04-12,'Paul McLaughlin','Tolka Park',4855,2024
227,Waterford,Galway United,0 - 0,19:45,,,2024-04-12,'Paul Norton','Waterford Regional Sports Centre',2537,2024
228,Shamrock Rovers,Sligo Rovers,3 - 0,20:00,"G. Burke 36'
A. Greene 50'
A. Greene 63'",,2024-04-12,"""Kevin O'Sullivan""",'Tallaght Stadium',6059,2024
229,Bohemians,Drogheda United,1 - 0,19:45,J. Akintunde 15',,2024-04-19,'Gavin Colfer','Dalymount Park',4305,2024
230,Derry City,Shamrock Rovers,1 - 3,19:45,P. Hoban 87',"56' A. Greene
62' A. Greene
69' R. Towell",2024-04-19,'Paul McLaughlin','The Ryan McBride Brandywell Stadium',3159,2024
231,Galway United,Shelbourne,1 - 0,19:45,E. McCarthy 24',,2024-04-19,'Damien MacGraith','Eamonn Deacy Park',2311,2024
232,St Patrick's Athletic,Waterford,1 - 1,19:45,B. Kavanagh 65',13' M. Asamoah,2024-04-19,'David Dunne','Richmond Park',4376,2024
233,Sligo Rovers,Dundalk,1 - 1,19:45,F. Hartmann 16',49' J. Gullan,2024-04-19,'Paul Norton','The Showgrounds',2287,2024
